,TS_CODE,CREATE_TIME,UPDATE_TIME,UPDATE_BY,ID,TRADE_DATE,PRE_CLOSE,UP_LIMIT,DOWN_LIMIT,CREATE_BY,historical_high
878,605589.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18466012,20250219,,31.52,25.79,,29.75
884,605555.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18466006,20250219,,29.7,24.3,,28.11
888,605488.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18466002,20250219,,51.93,42.49,,48.4
891,605389.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465999,20250219,,29.57,24.19,,29.05
895,605376.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465995,20250219,,35.41,28.97,,35.11
906,605319.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465984,20250219,,28.2,23.08,,27.76
915,605288.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465975,20250219,,40.13,32.83,,38.48
917,605286.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465973,20250219,,35.32,28.9,,34.39
921,605259.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465969,20250219,,17.02,13.92,,16.4
922,605258.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465968,20250219,,36.82,30.12,,36.51
923,605255.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465967,20250219,,16.76,13.72,,15.24
947,605138.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465943,20250219,,6.38,5.22,,6.33
949,605133.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465941,20250219,,30.86,25.25,,29.5
950,605128.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465940,20250219,,44.73,36.59,,41.85
963,605088.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465927,20250219,,32.85,26.87,,32.32
971,605060.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465919,20250219,,23.28,19.04,,22.12
973,605056.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465917,20250219,,15.0,12.28,,14.52
975,605050.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465915,20250219,,11.14,9.12,,11.01
978,605020.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465912,20250219,,23.94,19.58,,22.66
997,603989.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465893,20250219,,17.6,14.4,,17.04
1018,603956.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465872,20250219,,11.28,9.23,,10.25
1020,603950.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465870,20250219,,23.97,19.61,,22.89
1029,603929.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465861,20250219,,34.09,27.89,,32.28
1032,603926.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465858,20250219,,10.67,8.73,,10.36
1036,603918.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465854,20250219,,24.78,20.28,,22.98
1039,603915.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465851,20250219,,16.45,13.46,,16.16
1051,603895.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465839,20250219,,28.45,23.27,,26.58
1063,603879.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465827,20250219,,4.4,3.98,,4.3
1095,603815.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465795,20250219,,7.55,6.17,,7.37
1097,603811.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465793,20250219,,8.67,7.09,,8.66
1104,603800.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465786,20250219,,33.94,27.77,,32.68
1106,603798.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465784,20250219,,10.11,8.27,,10.04
1108,603790.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465782,20250219,,13.4,10.96,,13.34
1112,603786.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465778,20250219,,81.14,66.38,,76.97
1120,603766.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465770,20250219,,12.18,9.96,,11.6
1122,603758.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465768,20250219,,11.75,9.61,,11.2
1128,603733.SH,2025-02-19 09:03:30,2025-02-19 09:03:30,,18465762,20250219,,23.0,18.82,,22.08
